id,Name,Year,Percent of graduates with debt,Average debt of graduates,Per capita debt of graduates,Full-time freshmen who received any student loans (#),% of full-time freshmen who received any student loans,Average amount of student loans received by full-time freshmen who borrowed,Tuition and fees (in-district/in-state),Graduation rate (within 150% of normal time),Origin of data
470,Kentucky - Public,2011-12,0.61,24196,14695,15180,0.56,5546,6354,0.38,CollegeInSight_Explore_MN.csv
471,Kentucky - Public,2010-11,0.57,22119,12506,14050,0.5,5610,5962,0.39,CollegeInSight_Explore_MN.csv
472,Kentucky - Public,2009-10,0.54,19255,10414,13401,0.47,5686,5639,0.38,CollegeInSight_Explore_MN.csv
473,Kentucky - Total,2016-17,0.64,28447,18206,,,,11942,,CollegeInSight_Explore_MN.csv
474,Kentucky - Total,2015-16,0.63,28910,18213,17420,0.5,6438,11313,0.43,CollegeInSight_Explore_MN.csv
475,Kentucky - Total,2014-15,0.64,27225,17552,19143,0.53,6439,10798,0.42,CollegeInSight_Explore_MN.csv
476,Kentucky - Total,2013-14,0.64,25939,16680,19852,0.55,6411,10345,0.41,CollegeInSight_Explore_MN.csv
477,Kentucky - Total,2012-13,0.59,24693,14676,20935,0.56,6301,9822,0.41,CollegeInSight_Explore_MN.csv
478,Kentucky - Total,2011-12,0.62,23785,14861,22287,0.61,5928,9327,0.41,CollegeInSight_Explore_MN.csv
479,Kentucky - Total,2010-11,0.6,22287,13262,22279,0.57,6051,8876,0.42,CollegeInSight_Explore_MN.csv
480,Kentucky - Total,2009-10,0.58,19374,11218,22254,0.55,6643,8366,0.42,CollegeInSight_Explore_MN.csv
481,"Louisiana - Private, for-profit",2016-17,,,,,,,11417,,CollegeInSight_Explore_MN.csv
482,"Louisiana - Private, for-profit",2015-16,,,,7133,0.76,6021,12805,0.61,CollegeInSight_Explore_MN.csv
483,"Louisiana - Private, for-profit",2014-15,,,,7347,0.78,5919,12422,0.6,CollegeInSight_Explore_MN.csv
484,"Louisiana - Private, for-profit",2013-14,,,,7393,0.8,6713,14155,0.65,CollegeInSight_Explore_MN.csv
485,"Louisiana - Private, for-profit",2012-13,,,,6747,0.73,6419,13450,0.67,CollegeInSight_Explore_MN.csv
486,"Louisiana - Private, for-profit",2011-12,,,,6728,0.71,6312,13566,0.64,CollegeInSight_Explore_MN.csv
487,"Louisiana - Private, for-profit",2010-11,,,,7977,0.71,6325,13850,0.61,CollegeInSight_Explore_MN.csv
488,"Louisiana - Private, for-profit",2009-10,,,,8169,0.74,6251,13393,0.61,CollegeInSight_Explore_MN.csv
489,"Louisiana - Private, nonprofit",2016-17,0.47,31849,14969,,,,35477,,CollegeInSight_Explore_MN.csv
490,"Louisiana - Private, nonprofit",2015-16,0.56,29951,16772,2183,0.52,7867,34757,0.59,CollegeInSight_Explore_MN.csv
491,"Louisiana - Private, nonprofit",2014-15,0.56,28794,16143,2535,0.61,7743,33043,0.6,CollegeInSight_Explore_MN.csv
492,"Louisiana - Private, nonprofit",2013-14,0.54,28605,15490,2518,0.6,7745,32160,0.62,CollegeInSight_Explore_MN.csv
493,"Louisiana - Private, nonprofit",2012-13,0.59,27775,16400,2629,0.58,7361,30707,0.6,CollegeInSight_Explore_MN.csv
494,"Louisiana - Private, nonprofit",2011-12,0.55,28486,15550,2925,0.6,7368,28628,0.61,CollegeInSight_Explore_MN.csv
495,"Louisiana - Private, nonprofit",2010-11,0.58,32107,18713,2596,0.61,6780,28560,0.42,CollegeInSight_Explore_MN.csv
496,"Louisiana - Private, nonprofit",2009-10,0.58,29971,17387,2350,0.56,6427,27038,0.53,CollegeInSight_Explore_MN.csv
497,Louisiana - Public,2016-17,0.49,25970,12725,,,,7500,,CollegeInSight_Explore_MN.csv
498,Louisiana - Public,2015-16,0.48,25948,12455,13893,0.45,5576,6936,0.39,CollegeInSight_Explore_MN.csv
499,Louisiana - Public,2014-15,0.5,26156,13017,12256,0.4,5595,6146,0.38,CollegeInSight_Explore_MN.csv
500,Louisiana - Public,2013-14,0.44,20844,9210,12556,0.41,5794,5514,0.36,CollegeInSight_Explore_MN.csv
501,Louisiana - Public,2012-13,0.45,21640,9719,12338,0.41,5641,4860,0.36,CollegeInSight_Explore_MN.csv
502,Louisiana - Public,2011-12,0.46,21112,9671,12215,0.39,5251,4302,0.36,CollegeInSight_Explore_MN.csv
503,Louisiana - Public,2010-11,0.42,19946,8406,11321,0.36,5091,3881,0.36,CollegeInSight_Explore_MN.csv
504,Louisiana - Public,2009-10,0.46,23184,10687,11172,0.36,4889,3482,0.33,CollegeInSight_Explore_MN.csv
505,Louisiana - Total,2016-17,0.48,27210,13061,,,,11073,,CollegeInSight_Explore_MN.csv
506,Louisiana - Total,2015-16,0.5,27138,13569,23209,0.52,5928,10282,0.45,CollegeInSight_Explore_MN.csv
507,Louisiana - Total,2014-15,0.51,26865,13785,22138,0.51,5948,9432,0.45,CollegeInSight_Explore_MN.csv
508,Louisiana - Total,2013-14,0.47,23025,10729,22467,0.51,6315,8922,0.45,CollegeInSight_Explore_MN.csv
509,Louisiana - Total,2012-13,0.48,23358,11243,21714,0.49,6091,8402,0.45,CollegeInSight_Explore_MN.csv
510,Louisiana - Total,2011-12,0.48,22789,10835,21868,0.48,5861,7843,0.44,CollegeInSight_Explore_MN.csv
511,Louisiana - Total,2010-11,0.45,22697,10204,21894,0.47,5741,7249,0.42,CollegeInSight_Explore_MN.csv
512,Louisiana - Total,2009-10,0.48,24548,11803,21691,0.47,5568,6710,0.4,CollegeInSight_Explore_MN.csv
513,"Maine - Private, for-profit",2016-17,,,,,,,11601,,CollegeInSight_Explore_MN.csv
514,"Maine - Private, for-profit",2015-16,,,,542,0.62,6241,11250,0.65,CollegeInSight_Explore_MN.csv
515,"Maine - Private, for-profit",2014-15,,,,664,0.63,6140,10742,0.56,CollegeInSight_Explore_MN.csv
516,"Maine - Private, for-profit",2013-14,,,,1103,0.74,7193,10720,0.47,CollegeInSight_Explore_MN.csv
517,"Maine - Private, for-profit",2012-13,,,,1153,0.73,8053,10755,0.48,CollegeInSight_Explore_MN.csv
518,"Maine - Private, for-profit",2011-12,,,,1344,0.77,6938,24204,0.59,CollegeInSight_Explore_MN.csv
519,"Maine - Private, for-profit",2010-11,,,,1372,0.73,6162,12254,0.55,CollegeInSight_Explore_MN.csv
520,"Maine - Private, for-profit",2009-10,,,,1592,0.77,8002,12596,0.6,CollegeInSight_Explore_MN.csv
521,"Maine - Private, nonprofit",2016-17,0.39,26582,10367,,,,37180,,CollegeInSight_Explore_MN.csv
522,"Maine - Private, nonprofit",2015-16,0.36,26170,9421,2068,0.57,9301,36615,0.7,CollegeInSight_Explore_MN.csv
523,"Maine - Private, nonprofit",2014-15,0.42,24608,10254,1980,0.57,8838,35423,0.71,CollegeInSight_Explore_MN.csv
524,"Maine - Private, nonprofit",2013-14,0.52,27811,14499,2013,0.58,8942,34265,0.69,CollegeInSight_Explore_MN.csv
525,"Maine - Private, nonprofit",2012-13,0.46,26281,12015,1834,0.54,9306,33721,0.68,CollegeInSight_Explore_MN.csv
526,"Maine - Private, nonprofit",2011-12,0.5,28167,14029,2041,0.59,8347,32022,0.68,CollegeInSight_Explore_MN.csv
527,"Maine - Private, nonprofit",2010-11,0.52,23630,12212,2174,0.6,8053,30416,0.69,CollegeInSight_Explore_MN.csv
528,"Maine - Private, nonprofit",2009-10,0.5,22251,11168,2050,0.58,8529,25008,0.68,CollegeInSight_Explore_MN.csv
529,Maine - Public,2016-17,0.76,34092,25910,,,,7509,,CollegeInSight_Explore_MN.csv
530,Maine - Public,2015-16,0.76,33970,25817,3975,0.63,7037,7395,0.38,CollegeInSight_Explore_MN.csv
531,Maine - Public,2014-15,0.79,31595,24996,4064,0.65,7063,7496,0.38,CollegeInSight_Explore_MN.csv
532,Maine - Public,2013-14,0.8,32345,25788,4431,0.66,6932,7495,0.38,CollegeInSight_Explore_MN.csv
533,Maine - Public,2012-13,0.77,31449,24249,4353,0.66,7083,7232,0.37,CollegeInSight_Explore_MN.csv
534,Maine - Public,2011-12,0.78,29756,23205,4460,0.67,6707,7297,0.39,CollegeInSight_Explore_MN.csv
535,Maine - Public,2010-11,0.78,26670,20753,4559,0.67,7253,6864,0.4,CollegeInSight_Explore_MN.csv
536,Maine - Public,2009-10,0.7,28289,19667,4419,0.65,7327,6612,0.39,CollegeInSight_Explore_MN.csv
537,Maine - Total,2016-17,0.56,31364,17564,,,,18360,,CollegeInSight_Explore_MN.csv
538,Maine - Total,2015-16,0.55,31295,17212,6585,0.61,7682,18009,0.51,CollegeInSight_Explore_MN.csv
539,Maine - Total,2014-15,0.63,29644,18747,6708,0.62,7496,17428,0.5,CollegeInSight_Explore_MN.csv
540,Maine - Total,2013-14,0.68,30908,21100,7547,0.65,7506,16798,0.48,CollegeInSight_Explore_MN.csv
541,Maine - Total,2012-13,0.64,29934,19214,7340,0.63,7791,16160,0.48,CollegeInSight_Explore_MN.csv
542,Maine - Total,2011-12,0.67,29290,19588,7845,0.66,7174,15709,0.5,CollegeInSight_Explore_MN.csv
543,Maine - Total,2010-11,0.71,26046,18363,8105,0.66,7283,15003,0.51,CollegeInSight_Explore_MN.csv
544,Maine - Total,2009-10,0.63,26538,16596,8061,0.65,7766,11725,0.51,CollegeInSight_Explore_MN.csv
545,"Michigan - Private, for-profit",2016-17,,,,,,,18176,,CollegeInSight_Explore_MN.csv
546,"Michigan - Private, for-profit",2015-16,,,,3717,0.72,7611,17868,0.6,CollegeInSight_Explore_MN.csv
547,"Michigan - Private, for-profit",2014-15,,,,5172,0.74,7425,16832,0.56,CollegeInSight_Explore_MN.csv
548,"Michigan - Private, for-profit",2013-14,,,,6255,0.74,8309,16782,0.59,CollegeInSight_Explore_MN.csv
549,"Michigan - Private, for-profit",2012-13,,,,6404,0.73,8465,15566,0.62,CollegeInSight_Explore_MN.csv
550,"Michigan - Private, for-profit",2011-12,,,,7661,0.83,8302,14730,0.63,CollegeInSight_Explore_MN.csv
551,"Michigan - Private, for-profit",2010-11,,,,11406,0.81,9064,14563,0.65,CollegeInSight_Explore_MN.csv
552,"Michigan - Private, for-profit",2009-10,,,,15084,0.82,8550,15435,0.61,CollegeInSight_Explore_MN.csv
553,"Michigan - Private, nonprofit",2016-17,0.7,33257,23280,,,,27086,,CollegeInSight_Explore_MN.csv
554,"Michigan - Private, nonprofit",2015-16,0.67,32827,21994,7307,0.65,7859,24810,0.43,CollegeInSight_Explore_MN.csv
555,"Michigan - Private, nonprofit",2014-15,0.71,31935,22740,7384,0.63,7708,23470,0.4,CollegeInSight_Explore_MN.csv
556,"Michigan - Private, nonprofit",2013-14,0.73,31534,23095,8221,0.64,7483,21289,0.42,CollegeInSight_Explore_MN.csv
557,"Michigan - Private, nonprofit",2012-13,0.72,32462,23287,8688,0.64,7349,20152,0.42,CollegeInSight_Explore_MN.csv
558,"Michigan - Private, nonprofit",2011-12,0.73,32030,23235,8746,0.64,7015,18713,0.42,CollegeInSight_Explore_MN.csv
559,"Michigan - Private, nonprofit",2010-11,0.74,30310,22363,9319,0.65,6756,17469,0.42,CollegeInSight_Explore_MN.csv
560,"Michigan - Private, nonprofit",2009-10,0.73,29735,21640,10131,0.66,6725,16207,0.42,CollegeInSight_Explore_MN.csv
561,Michigan - Public,2016-17,0.56,30910,17310,,,,9926,,CollegeInSight_Explore_MN.csv
562,Michigan - Public,2015-16,0.63,30423,19166,27220,0.47,6114,9384,0.46,CollegeInSight_Explore_MN.csv
563,Michigan - Public,2014-15,0.62,29747,18519,28578,0.48,6265,9007,0.45,CollegeInSight_Explore_MN.csv
564,Michigan - Public,2013-14,0.61,29142,17784,29087,0.49,6158,8702,0.44,CollegeInSight_Explore_MN.csv
565,Michigan - Public,2012-13,0.61,29092,17841,32052,0.53,6077,8277,0.43,CollegeInSight_Explore_MN.csv
566,Michigan - Public,2011-12,0.6,28147,16850,33655,0.55,6261,7789,0.42,CollegeInSight_Explore_MN.csv
567,Michigan - Public,2010-11,0.6,26937,16229,32861,0.52,6200,7226,0.44,CollegeInSight_Explore_MN.csv
568,Michigan - Public,2009-10,0.59,24854,14600,30849,0.48,6087,6856,0.45,CollegeInSight_Explore_MN.csv
569,Michigan - Total,2016-17,0.58,31289,18148,,,,12662,,CollegeInSight_Explore_MN.csv
570,Michigan - Total,2015-16,0.63,30852,19437,38244,0.51,6593,11998,0.47,CollegeInSight_Explore_MN.csv
571,Michigan - Total,2014-15,0.63,30045,19032,41134,0.53,6670,11389,0.45,CollegeInSight_Explore_MN.csv
572,Michigan - Total,2013-14,0.62,29450,18367,43563,0.54,6717,11061,0.46,CollegeInSight_Explore_MN.csv
573,Michigan - Total,2012-13,0.63,29586,18538,47144,0.57,6636,10499,0.45,CollegeInSight_Explore_MN.csv
574,Michigan - Total,2011-12,0.62,28742,17680,50062,0.59,6705,9847,0.46,CollegeInSight_Explore_MN.csv
575,Michigan - Total,2010-11,0.62,27436,16991,53586,0.58,6907,9187,0.47,CollegeInSight_Explore_MN.csv
576,Michigan - Total,2009-10,0.6,25575,15464,56064,0.57,6865,8797,0.47,CollegeInSight_Explore_MN.csv
577,"Minnesota - Private, for-profit",2016-17,,,,,,,14898,,CollegeInSight_Explore_MN.csv
578,"Minnesota - Private, for-profit",2015-16,,,,761,0.75,9532,16615,0.47,CollegeInSight_Explore_MN.csv
579,"Minnesota - Private, for-profit",2014-15,,,,1671,0.79,9044,15726,0.46,CollegeInSight_Explore_MN.csv
580,"Minnesota - Private, for-profit",2013-14,,,,1976,0.83,8896,15574,0.57,CollegeInSight_Explore_MN.csv
581,"Minnesota - Private, for-profit",2012-13,,,,2412,0.83,9401,16045,0.55,CollegeInSight_Explore_MN.csv
582,"Minnesota - Private, for-profit",2011-12,,,,2768,0.8,9625,16460,0.57,CollegeInSight_Explore_MN.csv
583,"Minnesota - Private, for-profit",2010-11,,,,3514,0.81,10326,16451,0.56,CollegeInSight_Explore_MN.csv
584,"Minnesota - Private, for-profit",2009-10,,,,5095,0.83,9720,17408,0.59,CollegeInSight_Explore_MN.csv
585,"Minnesota - Private, nonprofit",2016-17,0.69,35678,24618,,,,37412,,CollegeInSight_Explore_MN.csv
586,"Minnesota - Private, nonprofit",2015-16,0.7,34937,24456,6500,0.64,8875,36374,0.72,CollegeInSight_Explore_MN.csv
587,"Minnesota - Private, nonprofit",2014-15,0.72,35832,25913,6613,0.65,8687,35363,0.72,CollegeInSight_Explore_MN.csv
588,"Minnesota - Private, nonprofit",2013-14,0.73,34665,25162,6825,0.64,8585,34050,0.71,CollegeInSight_Explore_MN.csv
589,"Minnesota - Private, nonprofit",2012-13,0.72,33305,24022,6967,0.67,8340,32952,0.71,CollegeInSight_Explore_MN.csv
590,"Minnesota - Private, nonprofit",2011-12,0.73,34221,24857,7025,0.67,8314,31426,0.7,CollegeInSight_Explore_MN.csv
591,"Minnesota - Private, nonprofit",2010-11,0.73,32128,23610,7316,0.68,7913,29805,0.7,CollegeInSight_Explore_MN.csv
592,"Minnesota - Private, nonprofit",2009-10,0.74,31400,23334,6885,0.65,7779,28214,0.7,CollegeInSight_Explore_MN.csv
593,Minnesota - Public,2016-17,0.68,29467,20038,,,,8712,,CollegeInSight_Explore_MN.csv
594,Minnesota - Public,2015-16,0.67,30091,20161,15213,0.54,7203,8594,0.47,CollegeInSight_Explore_MN.csv
595,Minnesota - Public,2014-15,0.69,29377,20354,16070,0.57,7000,8423,0.45,CollegeInSight_Explore_MN.csv
596,Minnesota - Public,2013-14,0.69,29800,20419,16990,0.58,6862,8340,0.44,CollegeInSight_Explore_MN.csv
597,Minnesota - Public,2012-13,0.69,29657,20566,17807,0.59,6834,8197,0.42,CollegeInSight_Explore_MN.csv
598,Minnesota - Public,2011-12,0.69,29958,20567,19122,0.62,6886,7869,0.42,CollegeInSight_Explore_MN.csv
599,Minnesota - Public,2010-11,0.7,28907,20261,20390,0.61,6519,7329,0.42,CollegeInSight_Explore_MN.csv
600,Minnesota - Public,2009-10,0.7,27613,19256,20566,0.59,6404,6810,0.41,CollegeInSight_Explore_MN.csv
601,Minnesota - Total,2016-17,0.68,31734,21579,,,,16097,,CollegeInSight_Explore_MN.csv
602,Minnesota - Total,2015-16,0.68,31915,21702,22474,0.57,7765,15814,0.53,CollegeInSight_Explore_MN.csv
603,Minnesota - Total,2014-15,0.7,31526,22152,24354,0.6,7598,15400,0.52,CollegeInSight_Explore_MN.csv
604,Minnesota - Total,2013-14,0.7,31579,22091,25791,0.61,7474,14990,0.52,CollegeInSight_Explore_MN.csv
605,Minnesota - Total,2012-13,0.7,30894,21708,27186,0.63,7448,14564,0.5,CollegeInSight_Explore_MN.csv
606,Minnesota - Total,2011-12,0.7,31497,22061,28915,0.64,7495,13783,0.49,CollegeInSight_Explore_MN.csv
607,Minnesota - Total,2010-11,0.71,30100,21465,31220,0.64,7274,12858,0.49,CollegeInSight_Explore_MN.csv
608,Minnesota - Total,2009-10,0.71,29058,20752,32546,0.63,7214,12040,0.49,CollegeInSight_Explore_MN.csv
609,"Mississippi - Private, for-profit",2016-17,,,,,,,14910,,CollegeInSight_Explore_NM.csv
610,"Mississippi - Private, for-profit",2015-16,,,,1711,0.86,7175,15333,0.67,CollegeInSight_Explore_NM.csv
611,"Mississippi - Private, for-profit",2014-15,,,,1827,0.84,7027,14982,0.63,CollegeInSight_Explore_NM.csv
612,"Mississippi - Private, for-profit",2013-14,,,,1660,0.76,8511,14858,0.69,CollegeInSight_Explore_NM.csv
613,"Mississippi - Private, for-profit",2012-13,,,,1895,0.78,8618,16985,0.62,CollegeInSight_Explore_NM.csv
614,"Mississippi - Private, for-profit",2011-12,,,,1472,0.67,8076,14284,0.63,CollegeInSight_Explore_NM.csv
615,"Mississippi - Private, for-profit",2010-11,,,,1319,0.53,6642,15303,0.67,CollegeInSight_Explore_NM.csv
616,"Mississippi - Private, for-profit",2009-10,,,,1625,0.66,7237,12558,0.61,CollegeInSight_Explore_NM.csv
617,"Mississippi - Private, nonprofit",2016-17,0.49,28988,14204,,,,17511,,CollegeInSight_Explore_NM.csv
618,"Mississippi - Private, nonprofit",2015-16,0.59,27496,16223,1122,0.66,5834,17398,0.5,CollegeInSight_Explore_NM.csv
619,"Mississippi - Private, nonprofit",2014-15,0.65,28328,18501,1140,0.64,6064,16632,0.5,CollegeInSight_Explore_NM.csv
620,"Mississippi - Private, nonprofit",2013-14,0.59,27887,16533,1047,0.63,5445,15220,0.48,CollegeInSight_Explore_NM.csv
621,"Mississippi - Private, nonprofit",2012-13,0.61,29691,18223,1051,0.63,5866,14786,0.48,CollegeInSight_Explore_NM.csv
622,"Mississippi - Private, nonprofit",2011-12,0.68,31254,21117,1010,0.62,5766,14805,0.54,CollegeInSight_Explore_NM.csv
623,"Mississippi - Private, nonprofit",2010-11,0.56,24211,13525,895,0.56,5399,14138,0.49,CollegeInSight_Explore_NM.csv
624,"Mississippi - Private, nonprofit",2009-10,,,,1076,0.59,5279,13628,0.49,CollegeInSight_Explore_NM.csv
625,Mississippi - Public,2016-17,0.58,30561,17725,,,,4845,,CollegeInSight_Explore_NM.csv
626,Mississippi - Public,2015-16,0.6,29586,17752,9713,0.36,5857,4615,0.38,CollegeInSight_Explore_NM.csv
627,Mississippi - Public,2014-15,0.62,30150,18659,9883,0.37,5882,4350,0.37,CollegeInSight_Explore_NM.csv
628,Mississippi - Public,2013-14,0.6,28367,17162,10554,0.37,5752,4091,0.33,CollegeInSight_Explore_NM.csv
629,Mississippi - Public,2012-13,0.57,27222,15491,10894,0.38,5508,3730,0.32,CollegeInSight_Explore_NM.csv
630,Mississippi - Public,2011-12,0.55,26552,14595,10845,0.37,5141,3462,0.33,CollegeInSight_Explore_NM.csv
631,Mississippi - Public,2010-11,0.54,23641,12819,11577,0.38,5319,3176,0.34,CollegeInSight_Explore_NM.csv
632,Mississippi - Public,2009-10,0.52,22006,11399,10114,0.35,5084,2848,0.33,CollegeInSight_Explore_NM.csv
633,Mississippi - Total,2016-17,0.58,30439,17654,,,,5691,,CollegeInSight_Explore_NM.csv
634,Mississippi - Total,2015-16,0.6,29384,17630,12546,0.41,6034,5457,0.41,CollegeInSight_Explore_NM.csv
635,Mississippi - Total,2014-15,0.62,29942,18641,12850,0.42,6061,5254,0.39,CollegeInSight_Explore_NM.csv
636,Mississippi - Total,2013-14,0.6,28314,17092,13261,0.41,6073,4908,0.36,CollegeInSight_Explore_NM.csv
637,Mississippi - Total,2012-13,0.57,27571,15853,13840,0.42,5961,4518,0.34,CollegeInSight_Explore_NM.csv
638,Mississippi - Total,2011-12,0.57,27322,15491,13327,0.4,5513,4200,0.36,CollegeInSight_Explore_NM.csv
639,Mississippi - Total,2010-11,0.54,23697,12886,13791,0.4,5450,3920,0.36,CollegeInSight_Explore_NM.csv
640,Mississippi - Total,2009-10,0.52,22155,11477,12815,0.39,5374,3614,0.35,CollegeInSight_Explore_NM.csv
641,"Montana - Private, for-profit",2016-17,,,,,,,,,CollegeInSight_Explore_NM.csv
642,"Montana - Private, for-profit",2015-16,,,,245,0.58,7150,,0.76,CollegeInSight_Explore_NM.csv
643,"Montana - Private, for-profit",2014-15,,,,310,0.6,5854,,0.61,CollegeInSight_Explore_NM.csv
644,"Montana - Private, for-profit",2013-14,,,,309,0.59,5978,,0.72,CollegeInSight_Explore_NM.csv
645,"Montana - Private, for-profit",2012-13,,,,322,0.56,5968,,0.86,CollegeInSight_Explore_NM.csv
646,"Montana - Private, for-profit",2011-12,,,,290,0.56,5785,,0.84,CollegeInSight_Explore_NM.csv
647,"Montana - Private, for-profit",2010-11,,,,260,0.5,6543,,0.81,CollegeInSight_Explore_NM.csv
648,"Montana - Private, for-profit",2009-10,,,,146,0.36,6310,,0.85,CollegeInSight_Explore_NM.csv
649,"Montana - Private, nonprofit",2016-17,0.69,30434,21000,,,,23707,,CollegeInSight_Explore_NM.csv
650,"Montana - Private, nonprofit",2015-16,0.71,31585,22425,531,0.54,7152,22695,0.5,CollegeInSight_Explore_NM.csv
651,"Montana - Private, nonprofit",2014-15,0.7,27997,19612,535,0.57,7253,21158,0.47,CollegeInSight_Explore_NM.csv
652,"Montana - Private, nonprofit",2013-14,0.74,26280,19351,532,0.59,7959,20265,0.47,CollegeInSight_Explore_NM.csv
653,"Montana - Private, nonprofit",2012-13,0.75,24708,18567,542,0.57,7089,20264,0.48,CollegeInSight_Explore_NM.csv
654,"Montana - Private, nonprofit",2011-12,0.76,27895,21334,513,0.55,7016,18988,0.46,CollegeInSight_Explore_NM.csv
655,"Montana - Private, nonprofit",2010-11,0.73,28123,20615,572,0.56,6871,17169,0.46,CollegeInSight_Explore_NM.csv
656,"Montana - Private, nonprofit",2009-10,0.75,25643,19171,498,0.54,7556,16121,0.47,CollegeInSight_Explore_NM.csv
657,Montana - Public,2016-17,0.57,28137,16038,,,,5950,,CollegeInSight_Explore_NM.csv
658,Montana - Public,2015-16,0.58,30954,17953,3239,0.48,6065,5865,0.41,CollegeInSight_Explore_NM.csv
659,Montana - Public,2014-15,0.58,25983,15144,3471,0.5,6133,5791,0.39,CollegeInSight_Explore_NM.csv
660,Montana - Public,2013-14,0.66,27049,17762,3414,0.5,6081,5659,0.4,CollegeInSight_Explore_NM.csv
661,Montana - Public,2012-13,0.65,28030,18253,3536,0.52,6095,5570,0.43,CollegeInSight_Explore_NM.csv
662,Montana - Public,2011-12,0.62,27401,17092,3872,0.55,5861,5366,0.43,CollegeInSight_Explore_NM.csv
663,Montana - Public,2010-11,0.64,23714,15226,4134,0.56,5754,5103,0.44,CollegeInSight_Explore_NM.csv
664,Montana - Public,2009-10,0.64,22489,14496,3693,0.53,5708,4902,0.41,CollegeInSight_Explore_NM.csv
665,Montana - Total,2016-17,0.59,28466,16795,,,,7888,,CollegeInSight_Explore_NM.csv
666,Montana - Total,2015-16,0.6,31065,18639,4015,0.49,6275,8036,0.44,CollegeInSight_Explore_NM.csv
667,Montana - Total,2014-15,0.6,26280,15707,4316,0.52,6251,7641,0.41,CollegeInSight_Explore_NM.csv
668,Montana - Total,2013-14,0.67,26946,17955,4255,0.52,6309,7376,0.43,CollegeInSight_Explore_NM.csv
669,Montana - Total,2012-13,0.66,27568,18292,4400,0.53,6208,7411,0.45,CollegeInSight_Explore_NM.csv
670,Montana - Total,2011-12,0.64,27475,17622,4675,0.55,5983,6937,0.45,CollegeInSight_Explore_NM.csv
671,Montana - Total,2010-11,0.65,24113,15658,4966,0.56,5924,6531,0.47,CollegeInSight_Explore_NM.csv
672,Montana - Total,2009-10,0.65,22768,14858,4337,0.53,5941,6198,0.44,CollegeInSight_Explore_NM.csv
673,Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).,,,,,,,,,,CollegeInSight_Explore_DE
674,Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).,,,,,,,,,,CollegeInSight_Explore_CA.csv
675,Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).,,,,,,,,,,CollegeInSight_Explore_IN.csv
676,Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).,,,,,,,,,,CollegeInSight_Explore_MN.csv
677,Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).,,,,,,,,,,CollegeInSight_Explore_NM.csv
678,Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).,,,,,,,,,,CollegeInSight_Explore_SD.csv
679,Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).,,,,,,,,,,CollegeInSight_Explore_WY.csv
680,"Nebraska - Private, for-profit",2016-17,,,,,,,18830,,CollegeInSight_Explore_NM.csv
681,"Nebraska - Private, for-profit",2015-16,,,,352,0.83,7342,18040,0.67,CollegeInSight_Explore_NM.csv
682,"Nebraska - Private, for-profit",2014-15,,,,423,0.84,8352,17383,0.47,CollegeInSight_Explore_NM.csv
683,"Nebraska - Private, for-profit",2013-14,,,,486,0.79,8878,16030,0.51,CollegeInSight_Explore_NM.csv
684,"Nebraska - Private, for-profit",2012-13,,,,480,0.78,8319,16858,0.54,CollegeInSight_Explore_NM.csv
685,"Nebraska - Private, for-profit",2011-12,,,,605,0.8,7923,16081,0.53,CollegeInSight_Explore_NM.csv
686,"Nebraska - Private, for-profit",2010-11,,,,680,0.75,8903,15096,0.53,CollegeInSight_Explore_NM.csv
687,"Nebraska - Private, for-profit",2009-10,,,,1785,0.74,10043,14998,0.59,CollegeInSight_Explore_NM.csv
688,"Nebraska - Private, nonprofit",2016-17,0.61,33281,20301,,,,30466,,CollegeInSight_Explore_NM.csv
689,"Nebraska - Private, nonprofit",2015-16,0.67,33147,22208,2352,0.69,7256,29014,0.65,CollegeInSight_Explore_NM.csv
690,"Nebraska - Private, nonprofit",2014-15,0.67,32593,21819,2269,0.69,7400,27769,0.64,CollegeInSight_Explore_NM.csv
691,"Nebraska - Private, nonprofit",2013-14,0.7,31163,21761,2544,0.76,7125,26452,0.64,CollegeInSight_Explore_NM.csv
692,"Nebraska - Private, nonprofit",2012-13,0.7,33135,23328,2457,0.79,7197,26218,0.61,CollegeInSight_Explore_NM.csv
693,"Nebraska - Private, nonprofit",2011-12,0.7,31786,22337,2197,0.7,6896,24966,0.6,CollegeInSight_Explore_NM.csv
694,"Nebraska - Private, nonprofit",2010-11,0.73,29146,21252,2366,0.74,6491,23906,0.61,CollegeInSight_Explore_NM.csv
695,"Nebraska - Private, nonprofit",2009-10,0.75,27286,20590,2146,0.72,7642,23105,0.62,CollegeInSight_Explore_NM.csv
696,Nebraska - Public,2016-17,0.52,22278,11584,,,,6278,,CollegeInSight_Explore_NM.csv
697,Nebraska - Public,2015-16,0.6,24835,14901,6113,0.48,5337,6108,0.48,CollegeInSight_Explore_NM.csv
698,Nebraska - Public,2014-15,0.57,22762,12931,6062,0.46,5356,5819,0.47,CollegeInSight_Explore_NM.csv
